device_id,total,approval_rate,null_rate,unique_stations,unique_junctions,night_rate,scita_rate,anomaly_flag,anomaly_score
FKDEV00000,4,1.0,0.25,1,2,0.5,0.75,1,0.10176202494646153
FKDEV00001,266,0.6375,0.09774436090225563,2,1,0.6804511278195489,0.9022556390977443,1,0.07725378230196389
FKDEV00002,177,0.6754385964912281,0.3559322033898305,2,5,0.14689265536723164,0.7853107344632768,1,0.13404558047502957
FKDEV00003,446,0.7568807339449541,0.5112107623318386,4,8,0.5067264573991032,0.6771300448430493,1,0.03423151451532813
FKDEV00004,63,0.7619047619047619,0.0,1,4,0.20634920634920634,1.0,1,0.14461573943107991
FKDEV00005,78,0.9692307692307692,0.16666666666666666,1,1,0.10256410256410256,0.9743589743589743,1,0.11203918584063799
FKDEV00006,413,0.6623376623376623,0.2542372881355932,5,18,0.3728813559322034,0.9709443099273608,1,0.03270400630933923
FKDEV00007,19,0.8421052631578947,0.0,1,1,0.0,1.0,1,0.13519767041626446
FKDEV00008,242,0.8217821782178217,0.1652892561983471,1,1,0.8925619834710744,0.987603305785124,1,0.06493565379292299
FKDEV00009,567,0.7284768211920529,0.4673721340388007,4,6,0.21516754850088182,0.8483245149911817,1,0.0685168675729021
FKDEV00010,38,0.782608695652174,0.39473684210526316,1,1,0.7368421052631579,0.9473684210526315,1,0.1394873370682591
FKDEV00011,82,0.8292682926829268,0.0,1,1,0.14634146341463414,1.0,1,0.130899101987081
FKDEV00012,751,0.6262833675564682,0.35153129161118507,1,4,0.018641810918774968,0.9467376830892144,1,0.017746710051321446
FKDEV00013,4,0.75,0.0,2,1,0.25,1.0,1,0.14959225569820822
FKDEV00014,59,0.7567567567567568,0.3728813559322034,1,1,0.05084745762711865,0.6271186440677966,1,0.08990626393174722
FKDEV00015,406,0.6188679245283019,0.3472906403940887,4,2,0.30295566502463056,0.8374384236453202,1,0.09233812318825374
FKDEV00016,689,0.5900900900900901,0.3555878084179971,1,1,0.3047895500725689,0.8505079825834543,1,0.07119638406025297
FKDEV00017,116,0.7555555555555555,0.22413793103448276,4,7,0.5086206896551724,0.9913793103448276,1,0.0673988622628886
FKDEV00018,821,0.759469696969697,0.3568818514007308,3,9,0.35931790499390986,0.904993909866017,1,0.06870378541748368
FKDEV00019,205,0.7758620689655172,0.43414634146341463,1,1,0.04878048780487805,0.8536585365853658,1,0.10993609241959706
FKDEV00020,1059,0.6994219653179191,0.509915014164306,5,8,0.25401322001888577,0.8054768649669499,-1,-0.0410013925313889
FKDEV00021,4344,0.506363027461487,0.6563075506445673,3,1,0.1132596685082873,0.5488029465930019,-1,-0.11280473957969472
FKDEV00022,221,0.6,0.23076923076923078,2,1,0.4072398190045249,0.8778280542986425,1,0.14007019989241243
FKDEV00023,2145,0.6944660950896336,0.4018648018648019,4,8,0.35571095571095573,0.9006993006993007,-1,-0.05548324634120372
FKDEV00024,299,0.6161616161616161,0.6688963210702341,1,1,0.23411371237458195,0.6120401337792643,1,0.07460998481776515
FKDEV00025,1558,0.6156186612576064,0.36713735558408217,2,1,0.21630295250320924,0.8517329910141207,-1,-0.0075722691925533825
FKDEV00026,1563,0.7402061855670103,0.37939859245041585,3,1,0.31541906589891233,0.9245041586692259,1,0.006127978995107419
FKDEV00027,378,0.6679841897233202,0.3306878306878307,1,8,0.43915343915343913,0.6693121693121693,1,0.07397239445401926
FKDEV00028,1586,0.614138438880707,0.5718789407313998,1,1,0.07061790668348046,0.8064312736443884,-1,-0.044345250121424096
FKDEV00029,381,0.36619718309859156,0.6272965879265092,1,3,0.9238845144356955,0.49868766404199477,-1,-0.04586522717337205
FKDEV00030,243,0.8465346534653465,0.16872427983539096,1,2,0.9135802469135802,0.9917695473251029,1,0.056713119528684186
FKDEV00031,1343,0.43051359516616317,0.5070737155621743,6,1,0.2122114668652271,0.8481012658227848,-1,-0.08387782624894757
FKDEV00032,184,0.8144329896907216,0.47282608695652173,1,1,0.3532608695652174,0.8315217391304348,1,0.1364650745839202
FKDEV00033,24,0.6190476190476191,0.125,1,1,0.6666666666666666,0.875,1,0.128371095990839
FKDEV00034,204,0.5657894736842105,0.6274509803921569,7,2,0.6176470588235294,0.6176470588235294,-1,-0.03950676359560634
FKDEV00035,1071,0.6618625277161863,0.15779645191409897,4,8,0.35294117647058826,0.9505135387488328,-1,-0.013034632564067228
FKDEV00036,315,0.5681818181818182,0.580952380952381,2,6,0.6031746031746031,0.9206349206349206,1,0.10125497994503657
FKDEV00037,1960,0.5094736842105263,0.2729591836734694,5,6,0.05969387755102041,0.9724489795918367,-1,-0.10934895013751378
FKDEV00038,767,0.6233183856502242,0.41851368970013036,2,1,0.2685788787483703,0.9217731421121251,1,0.08611865652071993
FKDEV00039,216,0.547945205479452,0.32407407407407407,1,1,0.7314814814814815,0.9120370370370371,1,0.10859219934830411
FKDEV00040,121,0.7431192660550459,0.09917355371900827,2,4,0.743801652892562,0.9008264462809917,1,0.09917375464204514
FKDEV00041,1572,0.6569274269557022,0.32506361323155214,5,3,0.05788804071246819,0.9020356234096693,-1,-0.0767364186824715
FKDEV00042,102,0.7413793103448276,0.43137254901960786,2,10,0.38235294117647056,0.9607843137254902,1,0.16625088207722322
FKDEV00043,28,0.8888888888888888,0.35714285714285715,1,1,0.21428571428571427,1.0,1,0.1704640010562088
FKDEV00044,377,0.6764705882352942,0.4588859416445623,3,9,0.35013262599469497,0.9416445623342176,1,0.12079077924032877
FKDEV00045,34,0.7619047619047619,0.38235294117647056,3,1,0.3235294117647059,0.8235294117647058,1,0.15232217178729435
FKDEV00046,230,0.4930232558139535,0.06521739130434782,1,1,0.8304347826086956,0.9347826086956522,1,0.053830524009348846
FKDEV00047,303,0.8675496688741722,0.5016501650165016,2,3,0.44884488448844884,0.8943894389438944,1,0.1257303810966644
FKDEV00048,48,0.8484848484848485,0.3125,1,6,0.4166666666666667,1.0,1,0.1628380551329925
FKDEV00049,653,0.6731182795698925,0.2879019908116386,2,1,0.5145482388973966,0.9754977029096478,1,0.06110417707742699
FKDEV00050,265,0.7284768211920529,0.43018867924528303,2,5,0.27547169811320754,0.7811320754716982,1,0.13542125112657794
FKDEV00051,173,0.6299212598425197,0.2658959537572254,5,3,0.3468208092485549,0.8901734104046243,1,0.04869431793594747
FKDEV00052,28,0.6956521739130435,0.17857142857142858,1,1,0.14285714285714285,0.9285714285714286,1,0.15566360354346714
FKDEV00053,621,0.7125,0.6135265700483091,1,1,0.20772946859903382,0.6151368760064412,1,0.019241419996007703
FKDEV00054,122,0.671875,0.47540983606557374,3,4,0.4016393442622951,0.8032786885245902,1,0.1397220603094098
FKDEV00055,544,0.7660098522167488,0.2536764705882353,5,14,0.12867647058823528,0.9503676470588235,1,0.003506848388819872
FKDEV00056,12,1.0,0.16666666666666666,1,1,0.4166666666666667,1.0,1,0.15059680792445557
FKDEV00057,80,0.2077922077922078,0.0375,2,6,0.9375,0.9625,1,0.02334512896663432
FKDEV00058,79,0.6764705882352942,0.569620253164557,2,3,0.1518987341772152,0.569620253164557,1,0.10995035902096734
FKDEV00059,103,0.8048780487804879,0.20388349514563106,1,1,0.39805825242718446,0.9805825242718447,1,0.15676262537461472
FKDEV00060,955,0.7894736842105263,0.3633507853403141,3,4,0.20523560209424083,0.9382198952879581,1,0.03940678160389932
FKDEV00061,689,0.7330016583747927,0.12481857764876633,2,5,0.34252539912917274,0.9462989840348331,1,0.06137010869987458
FKDEV00062,617,0.7630057803468208,0.15883306320907617,1,8,0.2901134521880065,0.946515397082658,1,0.062422213693943296
FKDEV00063,80,0.5526315789473685,0.525,1,2,0.425,0.9,1,0.16197834155711438
FKDEV00064,3,1.0,0.6666666666666666,1,2,0.3333333333333333,1.0,1,0.13516173534237141
FKDEV00065,15,0.8181818181818182,0.26666666666666666,2,2,0.6666666666666666,0.9333333333333333,1,0.13933800466401058
FKDEV00066,55,0.7,0.45454545454545453,1,1,0.41818181818181815,0.8545454545454545,1,0.16975184815633032
FKDEV00067,342,0.8615384615384616,0.4298245614035088,2,6,0.20760233918128654,0.8947368421052632,1,0.1220154645584598
FKDEV00068,1777,0.7132505175983437,0.4563871693866066,2,1,0.7191896454698931,0.9003939223410242,-1,-0.04657356379520894
FKDEV00069,422,0.6174242424242424,0.3744075829383886,4,11,0.15165876777251186,0.8056872037914692,1,0.07375315405391358
FKDEV00070,485,0.5558739255014327,0.2804123711340206,2,1,0.08453608247422681,0.9443298969072165,1,0.08260461831722649
FKDEV00071,599,0.6190476190476191,0.4741235392320534,3,6,0.32554257095158595,0.6811352253756261,1,0.05537550277333447
FKDEV00072,130,0.6477272727272727,0.3230769230769231,2,7,0.06153846153846154,0.9461538461538461,1,0.13062245015881385
FKDEV00073,565,0.6385224274406333,0.3292035398230089,2,4,0.3805309734513274,0.9610619469026549,1,0.09641088428209321
FKDEV00074,35,0.8333333333333334,0.14285714285714285,1,2,0.17142857142857143,0.8571428571428571,1,0.1436269679958383
FKDEV00075,2095,0.7678288431061807,0.39761336515513124,5,9,0.6897374701670644,0.9274463007159904,-1,-0.1050857049450925
FKDEV00076,35,0.5555555555555556,0.22857142857142856,1,6,0.3142857142857143,0.8571428571428571,1,0.1555878161524491
FKDEV00077,2156,0.6545265348595213,0.5542671614100185,3,12,0.7963821892393321,0.8483302411873841,-1,-0.0904834533718405
FKDEV00078,462,0.6920731707317073,0.29004329004329005,2,1,0.3181818181818182,0.8809523809523809,1,0.12304979715452241
FKDEV00079,580,0.6228373702422145,0.5017241379310344,4,6,0.5051724137931034,0.906896551724138,1,0.04269799467985369
FKDEV00080,122,0.4772727272727273,0.2786885245901639,3,4,0.5655737704918032,0.9344262295081968,1,0.11200937266128685
FKDEV00081,95,0.7619047619047619,0.5578947368421052,3,7,0.2736842105263158,0.5052631578947369,1,0.08746428726963207
FKDEV00082,2268,0.7504051863857374,0.4559082892416226,3,6,0.16358024691358025,0.8712522045855379,-1,-0.04837392284714559
FKDEV00083,1,1.0,0.0,1,1,1.0,1.0,1,0.12169180460126178
FKDEV00084,319,0.7757575757575758,0.4827586206896552,3,1,0.45768025078369906,0.677115987460815,1,0.08208951478875004
FKDEV00085,900,0.7412451361867705,0.4288888888888889,1,3,0.6088888888888889,0.9622222222222222,1,0.005442919325317597
FKDEV00086,7,0.8,0.2857142857142857,2,1,0.0,0.8571428571428571,1,0.1225949009815065
FKDEV00087,902,0.7253521126760564,0.5277161862527716,3,1,0.3148558758314856,0.7804878048780488,1,0.04550667796909802
FKDEV00088,129,0.5930232558139535,0.3333333333333333,3,1,0.4186046511627907,0.9534883720930233,1,0.14307106104846617
FKDEV00089,715,0.5424063116370809,0.2909090909090909,3,5,0.06433566433566433,0.8979020979020979,1,0.03552441510553117
FKDEV00090,215,0.7368421052631579,0.027906976744186046,1,2,0.4790697674418605,0.9767441860465116,1,0.11189135279357482
FKDEV00091,204,0.759493670886076,0.22549019607843138,1,1,0.09313725490196079,0.9509803921568627,1,0.10979076826868944
FKDEV00092,641,0.816414686825054,0.27769110764430577,6,7,0.44617784711388453,0.921996879875195,-1,-0.008913559945925686
FKDEV00093,876,0.6495238095238095,0.4006849315068493,5,8,0.2785388127853881,0.8732876712328768,-1,-0.001984208678997179
FKDEV00094,296,0.8414634146341463,0.16891891891891891,2,9,0.4391891891891892,0.9831081081081081,1,0.11288669877491764
FKDEV00095,25,0.8636363636363636,0.12,2,3,0.04,0.96,1,0.11572378259723037
FKDEV00096,36,0.48484848484848486,0.08333333333333333,1,1,0.16666666666666666,0.9444444444444444,1,0.1390785944847674
FKDEV00097,98,0.6857142857142857,0.6428571428571429,4,7,0.8163265306122449,0.8673469387755102,1,0.034754522982567426
FKDEV00098,579,0.7300275482093664,0.37305699481865284,5,8,0.3229706390328152,0.8411053540587219,1,0.02966547149562826
FKDEV00099,55,0.5555555555555556,0.34545454545454546,1,1,0.3090909090909091,0.7636363636363637,1,0.14373650507002017
FKDEV00100,86,0.7647058823529411,0.011627906976744186,2,3,0.36046511627906974,0.9883720930232558,1,0.1354615603074476
FKDEV00101,43,0.8421052631578947,0.5581395348837209,1,1,0.32558139534883723,0.8837209302325582,1,0.15837592363176595
FKDEV00102,57,0.9259259259259259,0.5263157894736842,3,3,0.45614035087719296,1.0,1,0.10955874243636687
FKDEV00103,10,0.875,0.2,2,1,0.1,1.0,1,0.13469259008184087
FKDEV00104,1021,0.7204301075268817,0.1802154750244858,4,7,0.257590597453477,0.8942213516160626,-1,-0.011047895726860046
FKDEV00105,74,0.5166666666666667,0.1891891891891892,2,1,0.44594594594594594,0.8918918918918919,1,0.15441597292592701
FKDEV00106,56,0.7714285714285715,0.375,3,6,0.125,0.8214285714285714,1,0.13297321133213902
FKDEV00107,18,0.8571428571428571,0.2222222222222222,2,5,0.5555555555555556,1.0,1,0.15140380801164183
FKDEV00108,526,0.6445783132530121,0.6844106463878327,3,1,0.06653992395437262,0.9448669201520913,1,0.04288141201744888
FKDEV00109,794,0.5049668874172185,0.23929471032745592,6,2,0.31738035264483627,0.964735516372796,-1,-0.029071732677605988
FKDEV00110,507,0.5783132530120482,0.6725838264299803,4,12,0.5029585798816568,0.8757396449704142,1,0.004403753259494714
FKDEV00111,25,0.5,0.28,3,1,0.28,1.0,1,0.12567707852443494
FKDEV00112,2012,0.6759371221281741,0.5889662027833003,4,1,0.3827037773359841,0.5874751491053678,-1,-0.08914715001791562
FKDEV00113,225,0.7823834196891192,0.14222222222222222,3,1,0.5688888888888889,0.9955555555555555,1,0.07380209654781789
FKDEV00114,87,0.9583333333333334,0.4482758620689655,2,3,0.7701149425287356,0.7471264367816092,1,0.07200495759271397
FKDEV00115,24,0.6666666666666666,0.625,3,2,0.625,0.75,1,0.09941487614069094
FKDEV00116,1510,0.7080366225839267,0.3490066225165563,4,6,0.17350993377483442,0.9317880794701987,-1,-0.03306688559010584
FKDEV00117,9,0.8333333333333334,0.3333333333333333,1,2,1.0,0.8888888888888888,1,0.07804108689975153
FKDEV00118,378,0.7398648648648649,0.21693121693121692,1,1,0.1164021164021164,0.8968253968253969,1,0.09802977666032636
FKDEV00119,44,0.47619047619047616,0.045454545454545456,2,3,0.3181818181818182,0.9545454545454546,1,0.13308046466265405
FKDEV00120,982,0.6758957654723127,0.37474541751527496,4,7,0.4786150712830957,0.8217922606924644,-1,-0.007409543727871615
FKDEV00121,1991,0.6681494661921709,0.43545956805625313,5,4,0.7307885484681065,0.8950276243093923,-1,-0.10638159436248673
FKDEV00122,660,0.5310492505353319,0.2924242424242424,1,5,0.0,0.9287878787878788,1,0.0307975378225811
FKDEV00123,201,0.47863247863247865,0.417910447761194,1,3,0.009950248756218905,0.8905472636815921,1,0.09169784256812746
FKDEV00124,64,0.8947368421052632,0.109375,2,6,0.609375,0.9375,1,0.1181667663102739
FKDEV00125,48,0.5652173913043478,0.5208333333333334,4,4,0.2708333333333333,0.9375,1,0.10536790072504187
FKDEV00126,1166,0.7885802469135802,0.444253859348199,2,8,0.18181818181818182,0.8825042881646655,1,0.02318858214715469
FKDEV00127,46,0.825,0.13043478260869565,1,1,0.5652173913043478,0.9782608695652174,1,0.14872159734786655
FKDEV00128,1234,0.7456813819577736,0.15559157212317667,3,6,0.09724473257698542,0.9011345218800648,-1,-0.020616610687995696
FKDEV00129,1495,0.6297786720321932,0.3351170568561873,2,11,0.13244147157190636,0.9036789297658863,-1,-0.014638167784435718
FKDEV00130,941,0.7636632200886263,0.28055260361317746,2,9,0.36344314558979807,0.9171094580233794,1,0.046560199935302804
FKDEV00131,875,0.7142857142857143,0.744,4,1,0.288,0.4937142857142857,-1,-0.053985933892021665
FKDEV00132,149,0.660377358490566,0.6442953020134228,5,9,0.12751677852348994,0.8456375838926175,1,0.03754632735375607
FKDEV00133,360,0.7687074829931972,0.5916666666666667,2,10,0.31666666666666665,0.5833333333333334,1,0.07929546803838255
FKDEV00134,280,0.7280701754385965,0.18571428571428572,2,1,0.6857142857142857,0.9857142857142858,1,0.0944169388311894
FKDEV00135,329,0.8269230769230769,0.3677811550151976,2,5,0.13677811550151975,0.790273556231003,1,0.11541073470438962
FKDEV00136,19,0.6666666666666666,0.8421052631578947,2,1,0.21052631578947367,1.0,1,0.1298457499220459
FKDEV00137,110,0.6823529411764706,0.22727272727272727,2,10,0.2545454545454545,0.9636363636363636,1,0.15718282425212216
FKDEV00138,1823,0.5576540755467196,0.44816236972024137,4,6,0.08063631376851343,0.8721886999451454,-1,-0.06719255989131256
FKDEV00139,598,0.6358208955223881,0.4397993311036789,4,16,0.3277591973244147,0.9682274247491639,1,0.05840534095808936
FKDEV00140,904,0.6622137404580153,0.42035398230088494,2,5,0.08517699115044247,0.8882743362831859,1,0.02176231243587534
FKDEV00141,640,0.8692660550458715,0.31875,3,6,0.040625,0.8671875,1,0.02098794576583196
FKDEV00142,8,1.0,0.625,1,3,0.875,0.375,1,0.0037849286256310677
FKDEV00143,435,0.6382978723404256,0.45977011494252873,1,1,0.9701149425287356,0.9080459770114943,1,0.03282345182485913
FKDEV00144,986,0.6563517915309446,0.3772819472616633,4,5,0.07403651115618662,0.9452332657200812,-1,-0.02004486074850309
FKDEV00145,17,0.8823529411764706,0.0,1,2,0.35294117647058826,1.0,1,0.14507627244134302
FKDEV00146,258,0.515527950310559,0.375968992248062,6,9,0.7054263565891473,0.9612403100775194,-1,-0.019534319443826664
FKDEV00147,371,0.6367713004484304,0.39892183288409705,4,1,0.0431266846361186,0.633423180592992,1,0.017755078882303654
FKDEV00148,480,0.7241379310344828,0.45625,5,9,0.5458333333333333,0.7541666666666667,1,0.005992671655278059
FKDEV00149,626,0.6638888888888889,0.4249201277955272,2,6,0.06389776357827476,0.902555910543131,1,0.06986248506086934
FKDEV00150,11,0.42857142857142855,0.36363636363636365,1,1,0.36363636363636365,0.9090909090909091,1,0.15043493722745466
FKDEV00151,1345,0.649546827794562,0.5078066914498142,3,6,0.3687732342007435,0.866914498141264,1,0.007590667678466945
FKDEV00152,392,0.7155555555555555,0.4260204081632653,3,10,0.40816326530612246,0.7678571428571429,1,0.11129953004786708
FKDEV00153,202,0.8113207547169812,0.4752475247524752,2,4,0.1782178217821782,0.9207920792079208,1,0.14120194536597963
FKDEV00154,16,0.8181818181818182,0.3125,2,1,0.25,1.0,1,0.16105571393970136
FKDEV00155,763,0.6965317919075145,0.546526867627785,4,13,0.5360419397116645,0.7352555701179554,1,0.006720385573538823
FKDEV00156,585,0.6726618705035972,0.5247863247863248,2,1,0.3606837606837607,0.6991452991452991,1,0.0671825276450343
FKDEV00157,36,0.8064516129032258,0.1388888888888889,3,4,0.3611111111111111,0.8611111111111112,1,0.12912026334687698
FKDEV00158,4,1.0,0.25,1,1,0.0,1.0,1,0.1420097669790314
FKDEV00159,886,0.7934595524956971,0.3442437923250564,2,1,0.6128668171557562,0.8544018058690744,1,0.02093669719228919
FKDEV00160,820,0.666030534351145,0.36097560975609755,4,6,0.11585365853658537,0.8914634146341464,1,0.01802438411305407
FKDEV00161,344,0.7203065134099617,0.24127906976744187,3,7,0.45930232558139533,0.9156976744186046,1,0.10432245735741641
FKDEV00162,223,0.5755813953488372,0.22869955156950672,1,6,0.3991031390134529,0.7757847533632287,1,0.11189547553555679
FKDEV00163,188,0.7105263157894737,0.7978723404255319,5,9,0.19148936170212766,0.44680851063829785,-1,-0.03559231902599125
FKDEV00164,109,0.7887323943661971,0.3486238532110092,3,8,0.03669724770642202,0.908256880733945,1,0.09984944888564784
FKDEV00165,224,0.5784313725490197,0.08928571428571429,2,11,0.39732142857142855,1.0,1,0.11365500447653137
FKDEV00166,449,0.7956204379562044,0.6948775055679287,4,6,0.133630289532294,0.5723830734966593,-1,-7.684673205921033e-05
FKDEV00167,305,0.8187919463087249,0.5114754098360655,1,1,0.16065573770491803,0.8,1,0.11085173026980966
FKDEV00168,524,0.5232558139534884,0.6717557251908397,1,1,0.9370229007633588,0.8320610687022901,-1,-0.006489900663309123
FKDEV00169,8,0.4,0.375,3,3,0.25,1.0,1,0.119827609025352
FKDEV00170,5,1.0,0.0,2,1,0.4,1.0,1,0.12510131410381986
FKDEV00171,97,0.8974358974358975,0.5979381443298969,3,9,0.5979381443298969,0.8350515463917526,1,0.10550395674102836
