junction_name,total_violations,impact_score,betweenness_centrality,betweenness_normalised,pagerank,pagerank_normalised,degree_centrality,congestion_influence_score,rank_by_count,rank_by_impact,rank_by_cis,rank_change
BTP213 - Royan Circle,21,2.1,0.076419,55.6,0.007365,75.4,19.8,18.1,159,160,80,79
BTP185 - RV Teachers College,57,5.7,0.075932,55.2,0.006483,66.4,19.8,20.5,143,146,68,75
"BTP102 - BMTC Junction, KH Road",175,23.0,0.070395,51.2,0.005046,51.7,18.6,31.4,102,75,32,70
BTP216 - Yediyur Junction,172,36.8,0.004473,3.3,0.005657,57.9,13.8,26.7,104,37,41,63
BTP219 - Canara Bank Junction,358,37.7,0.073516,53.5,0.005788,59.3,14.4,42.5,71,35,14,57
BTP184 - Lalbagh West Gate,215,12.6,0.10066,73.2,0.006366,65.2,20.4,30.8,91,106,36,55
BTP187 - South End Circle,56,8.6,0.039806,29.0,0.006464,66.2,16.2,14.7,144,132,93,51
"BTP117 - 9th Cross, Kanakapura Road",307,46.2,0.000721,0.5,0.00601,61.5,10.8,32.5,77,25,30,47
BTP120 - Lalbagh Main Gate Junction,244,16.1,0.07063,51.4,0.007752,79.4,24.0,26.7,87,90,41,46
BTP075 - Police Corner,188,16.6,0.05795,42.2,0.007955,81.4,26.9,24.3,99,89,53,46
"BTP114 - KR Road Junction, Near JSS",64,5.1,0.042674,31.0,0.006777,69.4,15.6,12.9,142,151,100,42
BTP141 - Palmgroove Junction,50,9.7,0.023014,16.7,0.003321,34.0,5.4,11.8,147,128,106,41
"BTP015 - Suguna Hospital, Dr. Rajkumar Road",103,10.4,0.046461,33.8,0.005649,57.8,13.8,17.5,128,120,87,41
"BTP191 - 40th Cross, 4th Main, Jayanagar",105,13.9,0.035189,25.6,0.00855,87.5,18.0,17.4,126,103,89,37
"BTP089 - Police Quarters, Sultan Road",87,5.0,0.041628,30.3,0.00518,53.0,15.0,12.6,133,153,101,32
BTP136 - Hosur-Tavarkere Road Junction,360,34.7,0.012625,9.2,0.004428,45.3,6.6,27.0,70,42,40,30
BTP218 - Syndicate Bank Junction,351,23.6,0.042097,30.6,0.004984,51.0,14.4,25.7,72,73,44,28
BTP134 - Mico Bande,49,4.9,0.028678,20.9,0.004924,50.4,8.4,9.7,148,155,120,28
"BTP099 - Cash Pharmacy, Residency Road",349,21.0,0.048626,35.4,0.004924,50.4,17.4,25.3,73,78,46,27
BTP158 - Devegowda Petrol Bunk,45,6.1,0.023591,17.2,0.00443,45.4,5.4,9.4,150,143,123,27
"BTP177 - Aurobindo Circle, ORR",186,26.6,0.004112,3.0,0.00774,79.3,16.8,19.5,100,61,74,26
BTP133 - Adugodi Junction,73,12.2,0.009884,7.2,0.003951,40.5,6.0,10.7,140,110,115,25
BTP144 - Commando Hospital Junction,6,1.2,0.028136,20.5,0.003999,40.9,3.6,7.0,168,164,143,25
BTP034 - LRDE Junction,217,28.4,0.004617,3.4,0.00531,54.4,10.8,20.9,90,56,66,24
BTP192 - Urvashi Theater,625,48.5,0.006096,4.4,0.007944,81.3,22.2,35.3,49,23,25,24
BTP064 - Devanga Hostel Junction,104,10.7,0.021878,15.9,0.006533,66.9,21.6,12.2,127,117,103,24
BTP074 - Leprosy Hospital Junction,1047,34.4,0.137454,100.0,0.005347,54.7,18.0,54.1,32,44,9,23
BTP047 - Vidhan Soudha Metro Station,200,22.4,0.017459,12.7,0.006727,68.9,19.8,19.5,95,77,74,21
BTP225 - Geetha Junction,287,24.7,0.02314,16.8,0.006804,69.7,15.0,22.3,81,69,60,21
BTP214 - 5th Main Chamrajpet  Junction,252,20.1,0.034251,24.9,0.005171,53.0,12.0,21.5,86,79,65,21
BTP142 - Lower Agram Road Junction,33,5.6,0.017748,12.9,0.00329,33.7,4.2,7.8,153,148,134,19
"BTP178 - 18th Main, Marenahalli",7,2.1,0.020688,15.1,0.006368,65.2,15.6,6.0,166,160,149,17
"BTP168 - MSR Building, JC Road",132,7.3,0.036289,26.4,0.008994,92.1,25.1,13.0,116,134,99,17
"BTP112 - 14th Cross, KR Road",10,0.7,0.027361,19.9,0.00621,63.6,15.0,6.5,164,166,147,17
