junction_name,junction_recurrence_rate,max_avg_per_occurrence,junction_chronic_count
"BTP001 - 10th Cross, Dr. Rajkumar Road",0.5909090909090909,11.0,0
BTP006 - Navarang Bar Junction,0.09090909090909091,5.0,0
BTP008 - Navarang Theatre,0.5,8.6,0
BTP009 - Prakash Nagar Junction,0.13636363636363635,14.5,0
BTP010 - Rajajinagar Entrance,0.45454545454545453,12.0,0
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",0.5454545454545454,17.0,0
"BTP015 - Suguna Hospital, Dr. Rajkumar Road",0.13636363636363635,9.0,0
"BTP016 - 5th Main Road, RPC Layout",0.45454545454545453,13.0,0
BTP017 - Attiguppe Circle,0.13636363636363635,20.5,0
BTP018 - Dhobi Ghat Junction,0.3181818181818182,4.5,0
BTP020 - Hosahalli Metro Station,0.5454545454545454,28.0,0
"BTP022 - Marenahalli Junction, Vijayanagar",0.45454545454545453,21.0,0
BTP023 - Mahalaxmi Layout Entrance,0.5454545454545454,10.0,0
"BTP024 - NPS, Vijayanagar",0.36363636363636365,20.0,0
"BTP025 - Puttamma Choultry, Nagarbhavi",0.09090909090909091,2.0,0
"BTP026 - 1st Block Junction, Rajajinagar",0.36363636363636365,11.666666666666666,0
BTP027 - Modi Bridge Junction,0.6363636363636364,19.75,4
BTP028 - Vijayanagar Bus Stand Junction,0.36363636363636365,11.5,0
BTP030 - Mekhri Circle,0.18181818181818182,7.0,0
BTP032 - Windsor Circle,0.5,30.666666666666668,0
"BTP033 - Sophia High School, Sankey Road",0.3181818181818182,7.0,0
BTP034 - LRDE Junction,0.3181818181818182,6.0,0
BTP035 - Basaweshwara Circle (LH) Junction,0.13636363636363635,2.0,0
BTP036 - Police Thimmaiah Circle (GPO),0.13636363636363635,8.0,0
BTP037 - KR Circle,0.22727272727272727,11.0,0
BTP038 - Mysore Bank Junction,0.6363636363636364,13.0,0
BTP040 - Elite Junction,0.9090909090909091,15.176470588235293,40
BTP041 - Gopal Gowda Circle,0.18181818181818182,19.0,0
BTP042 - Minsk Square Junction (CTO),0.5909090909090909,16.625,0
BTP043 - Upparpet Junction,0.5,24.0,0
BTP044 - Sagar Theatre Junction,0.9545454545454546,15.61111111111111,57
BTP045 - Danvanthri Road Junction,0.5909090909090909,14.0,0
BTP047 - Vidhan Soudha Metro Station,0.2727272727272727,8.0,0
BTP048 - Shanthala Junction,0.4090909090909091,23.75,0
BTP051 - Safina Plaza Junction,1.0,34.666666666666664,67
BTP052 - CID Carlton House Junction,0.22727272727272727,8.0,0
BTP053 - Three Let Junction,0.09090909090909091,15.0,0
BTP054 - Shivananda Circle,0.5,9.0,0
BTP057 - Anand Rao Junction,0.7727272727272727,9.0,3
BTP058 - Subbanna Junction,0.8636363636363636,20.272727272727273,8
BTP061 - Bhashyam Circle,0.4090909090909091,8.5,0
"BTP062 - Basava Mantapa, Dr. Rajkumar Road",0.2727272727272727,4.333333333333333,0
BTP063 - Siddalingaiah Circle,0.4090909090909091,7.666666666666667,0
BTP064 - Devanga Hostel Junction,0.13636363636363635,3.0,0
BTP067 - Jai Muni Rao Circle,0.3181818181818182,9.0,0
BTP068 - Veeresh Theatre Junction,0.2727272727272727,12.0,0
BTP069 - MC Circle,0.3181818181818182,23.5,0
"BTP070 - Cholurpalya Junction, Magadi Road",0.4090909090909091,17.75,0
BTP071 - Prasanna Junction,0.45454545454545453,9.0,0
BTP074 - Leprosy Hospital Junction,0.36363636363636365,8.0,0
BTP075 - Police Corner,0.18181818181818182,11.0,0
BTP076 - Hudson Circle,0.22727272727272727,10.0,0
BTP077 - Halasuru Gate Junction,0.09090909090909091,3.0,0
BTP078 - NR Square Junction,0.18181818181818182,7.0,0
BTP079 - Town Hall Junction,0.13636363636363635,4.0,0
"BTP080 - NR Road, SP Road Junction",0.6818181818181818,11.5,4
BTP082 - KR Market Junction,0.9090909090909091,19.0,50
"BTP083 - AS Char Street, Mysore Road",0.5454545454545454,15.0,0
BTP085 - Briyand Circle,0.22727272727272727,6.0,0
"BTP089 - Police Quarters, Sultan Road",0.09090909090909091,4.0,0
BTP091 - Sirsi Circle,0.18181818181818182,18.0,0
BTP092 - Bangalore Builders Junction,0.09090909090909091,9.0,0
"BTP093 - Toll Gate, Mysore Road",0.09090909090909091,7.5,0
"BTP094 - Sri Skanda Complex, Mysore Road",0.13636363636363635,8.0,0
"BTP095 - Satellite Bus Stand, Mysore Road",0.2727272727272727,14.0,0
BTP096 - Gali Anjaneya Temple,0.5,16.0,0
BTP098 - Nayandahalli Junction,0.09090909090909091,5.0,0
"BTP099 - Cash Pharmacy, Residency Road",0.22727272727272727,7.0,0
BTP100 - Richmond Circle,0.13636363636363635,28.0,0
"BTP101 - Blood Bank Circle, KH Road",0.2727272727272727,9.0,0
"BTP102 - BMTC Junction, KH Road",0.22727272727272727,8.0,0
