source,target,aerial_distance_m,road_distance_m,duration_s,weight
BTP044 - Sagar Theatre Junction,BTP043 - Upparpet Junction,555.1,862.8,125.0,0.001158
BTP044 - Sagar Theatre Junction,BTP040 - Elite Junction,309.4,495.1,69.9,0.002016
BTP044 - Sagar Theatre Junction,BTP038 - Mysore Bank Junction,304.8,794.1,129.4,0.001258
BTP044 - Sagar Theatre Junction,BTP057 - Anand Rao Junction,695.8,1370.7,181.0,0.000729
BTP044 - Sagar Theatre Junction,BTP063 - Siddalingaiah Circle,1966.5,3434.5,592.4,0.000291
BTP044 - Sagar Theatre Junction,"BTP083 - AS Char Street, Mysore Road",1062.1,1222.7,156.4,0.000817
BTP044 - Sagar Theatre Junction,BTP082 - KR Market Junction,1182.9,1696.7,184.7,0.000589
BTP044 - Sagar Theatre Junction,BTP058 - Subbanna Junction,454.7,889.1,133.8,0.001123
BTP044 - Sagar Theatre Junction,BTP064 - Devanga Hostel Junction,1807.0,3502.0,460.2,0.000285
BTP044 - Sagar Theatre Junction,BTP045 - Danvanthri Road Junction,503.8,837.0,138.5,0.001193
BTP044 - Sagar Theatre Junction,BTP048 - Shanthala Junction,910.3,1261.6,158.1,0.000792
BTP044 - Sagar Theatre Junction,BTP054 - Shivananda Circle,1259.6,1655.9,224.1,0.000604
BTP044 - Sagar Theatre Junction,"BTP080 - NR Road, SP Road Junction",1260.4,2372.1,262.3,0.000421
BTP044 - Sagar Theatre Junction,"BTP168 - MSR Building, JC Road",1637.7,3013.3,378.1,0.000332
BTP044 - Sagar Theatre Junction,BTP104 - Medical College Circle,1727.6,2307.6,286.2,0.000433
BTP044 - Sagar Theatre Junction,BTP118 - Basappa Circle,1870.6,2350.5,255.7,0.000425
BTP044 - Sagar Theatre Junction,BTP076 - Hudson Circle,1320.7,1799.6,271.2,0.000555
BTP044 - Sagar Theatre Junction,BTP079 - Town Hall Junction,1301.3,2616.5,306.4,0.000382
BTP044 - Sagar Theatre Junction,BTP180 - Swagath Poornima Theatre,1850.3,2786.5,383.1,0.000359
BTP044 - Sagar Theatre Junction,BTP074 - Leprosy Hospital Junction,1855.6,3376.1,383.8,0.000296
BTP044 - Sagar Theatre Junction,BTP037 - KR Circle,846.9,2053.1,253.0,0.000487
BTP044 - Sagar Theatre Junction,BTP167 - JC Road Junction,1871.0,2519.1,313.3,0.000397
BTP044 - Sagar Theatre Junction,BTP078 - NR Square Junction,1230.4,1574.4,317.7,0.000635
BTP044 - Sagar Theatre Junction,BTP047 - Vidhan Soudha Metro Station,1572.7,2711.7,417.8,0.000369
BTP044 - Sagar Theatre Junction,BTP041 - Gopal Gowda Circle,1259.5,2069.0,277.4,0.000483
BTP044 - Sagar Theatre Junction,BTP052 - CID Carlton House Junction,1152.3,2065.0,284.5,0.000484
BTP044 - Sagar Theatre Junction,BTP085 - Briyand Circle,1418.3,2020.1,248.6,0.000495
BTP044 - Sagar Theatre Junction,BTP212 - Minto Junction,1817.4,2538.6,302.3,0.000394
BTP044 - Sagar Theatre Junction,BTP036 - Police Thimmaiah Circle (GPO),1804.5,3407.6,415.1,0.000293
BTP044 - Sagar Theatre Junction,BTP075 - Police Corner,1048.7,1801.7,267.4,0.000555
BTP044 - Sagar Theatre Junction,BTP077 - Halasuru Gate Junction,1263.2,1505.8,232.2,0.000664
BTP044 - Sagar Theatre Junction,BTP203 - RRMR Junction,1798.4,3216.4,416.0,0.000311
BTP044 - Sagar Theatre Junction,BTP053 - Three Let Junction,1043.4,1918.3,241.3,0.000521
BTP044 - Sagar Theatre Junction,BTP213 - Royan Circle,1963.5,2207.2,246.6,0.000453
BTP044 - Sagar Theatre Junction,BTP035 - Basaweshwara Circle (LH) Junction,1471.3,2516.7,304.6,0.000397
BTP051 - Safina Plaza Junction,BTP034 - LRDE Junction,1999.2,3547.1,371.8,0.000282
BTP051 - Safina Plaza Junction,BTP063 - Siddalingaiah Circle,1687.7,2901.4,419.1,0.000345
BTP051 - Safina Plaza Junction,BTP141 - Palmgroove Junction,1527.8,2147.7,243.4,0.000465
BTP051 - Safina Plaza Junction,BTP211 - Central Street Junction,616.5,1345.8,211.9,0.000743
BTP051 - Safina Plaza Junction,BTP166 - Coffee Board Junction,1609.5,3012.8,342.7,0.000332
BTP051 - Safina Plaza Junction,"BTP099 - Cash Pharmacy, Residency Road",1623.2,2875.0,317.5,0.000348
BTP051 - Safina Plaza Junction,BTP173 - TMC,1088.4,2996.2,324.0,0.000334
BTP051 - Safina Plaza Junction,BTP042 - Minsk Square Junction (CTO),1109.4,2416.6,252.0,0.000414
BTP051 - Safina Plaza Junction,BTP047 - Vidhan Soudha Metro Station,1760.1,3615.3,455.4,0.000277
BTP051 - Safina Plaza Junction,BTP171 - Indian Express (Balekundri),1227.6,1981.3,367.9,0.000504
BTP051 - Safina Plaza Junction,BTP036 - Police Thimmaiah Circle (GPO),1557.5,2319.2,233.3,0.000431
BTP051 - Safina Plaza Junction,BTP143 - ASC Junction,1769.2,2430.6,262.0,0.000411
BTP205 - Modi Hospital Junction,BTP027 - Modi Bridge Junction,309.3,543.0,86.9,0.001838
BTP205 - Modi Hospital Junction,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",852.5,1215.7,187.7,0.000822
BTP205 - Modi Hospital Junction,BTP208 - Havanur Circle,1470.0,2334.9,353.7,0.000428
BTP205 - Modi Hospital Junction,"BTP024 - NPS, Vijayanagar",1633.3,2563.9,288.8,0.00039
BTP205 - Modi Hospital Junction,"BTP210 - 50th cross, 12th Main , Rajajinagar",1466.0,2104.3,281.3,0.000475
BTP205 - Modi Hospital Junction,BTP207 - 8th Main Road Basaveshwara Nagar,1109.4,1963.8,308.7,0.000509
BTP205 - Modi Hospital Junction,"BTP001 - 10th Cross, Dr. Rajkumar Road",1419.0,1876.6,227.5,0.000533
BTP205 - Modi Hospital Junction,BTP061 - Bhashyam Circle,1562.7,2136.8,260.4,0.000468
BTP205 - Modi Hospital Junction,BTP023 - Mahalaxmi Layout Entrance,1300.3,1808.2,235.4,0.000553
BTP205 - Modi Hospital Junction,"BTP182 - 19th Main Junction, Rajajinagar",454.8,579.8,81.3,0.001722
BTP205 - Modi Hospital Junction,"BTP026 - 1st Block Junction, Rajajinagar",647.1,968.8,140.2,0.001031
BTP205 - Modi Hospital Junction,"BTP204 - ESI Hospital, Rajajinagar",1080.9,1587.4,211.9,0.00063
BTP205 - Modi Hospital Junction,"BTP170 - Dr. Bheem Rao Palace, Chord Road",916.7,1276.8,156.4,0.000783
BTP205 - Modi Hospital Junction,BTP008 - Navarang Theatre,674.4,1082.8,143.1,0.000923
BTP205 - Modi Hospital Junction,"BTP015 - Suguna Hospital, Dr. Rajkumar Road",1740.6,3348.3,369.1,0.000299
