junction_name,violation_density,road_type_score_mean,rush_hour_conc,violation_severity_mean,multi_violation_rate,junction_recurrence_rate,junction_chronic_count,center_lat,center_lon,total_violations,peak_hour_ist,dominant_shift,top_vehicle,top_violation,monthly_counts,decay_trend
BTP044 - Sagar Theatre Junction,0.68282736746715,0.4837709735519954,0.5630865484880083,0.5085884918001706,0.05668783770973552,0.9545454545454546,57,12.974938996857006,77.57889570478889,10549,9,MORNING,SCOOTER,NO PARKING,"{""January"": 2533, ""December"": 2001, ""February"": 1906, ""November"": 1763, ""March"": 1749, ""April"": 597}",DECREASING
BTP051 - Safina Plaza Junction,1.0,0.23657841931516607,0.7230241439575377,0.5149750792931581,0.10654411288756553,1.0,67,12.981212065557246,77.60869513989651,15449,10,MORNING,SCOOTER,WRONG PARKING,"{""January"": 3609, ""November"": 3265, ""March"": 2979, ""February"": 2491, ""December"": 2412, ""April"": 693}",DECREASING
BTP205 - Modi Hospital Junction,0.06764191857078128,0.2164593301435407,0.5521531100478468,0.5237320574162679,0.08133971291866028,0.5,0,12.997488303320912,77.54695407575123,1045,10,MORNING,CAR,WRONG PARKING,"{""February"": 327, ""December"": 290, ""January"": 175, ""March"": 147, ""November"": 54, ""April"": 52}",STABLE
BTP043 - Upparpet Junction,0.11560618810278983,0.6373460246360582,0.5117581187010078,0.503919372900336,0.0341545352743561,0.5,0,12.971139927984627,77.57557195804273,1786,8,MORNING,SCOOTER,WRONG PARKING,"{""January"": 444, ""December"": 374, ""February"": 325, ""November"": 302, ""March"": 293, ""April"": 48}",STABLE
BTP034 - LRDE Junction,0.014046216583597644,0.2230414746543779,0.5483870967741935,0.5048387096774194,0.06912442396313365,0.3181818181818182,0,12.988339276825316,77.5917559860704,217,8,MORNING,CAR,WRONG PARKING,"{""December"": 68, ""November"": 46, ""March"": 41, ""January"": 32, ""February"": 20, ""April"": 10}",STABLE
BTP040 - Elite Junction,0.6937665868340993,0.5234372084344094,0.5555140884493376,0.5034521365926479,0.03144243328979287,0.9090909090909091,40,12.976596713370032,77.5766021547117,10718,9,MORNING,SCOOTER,NO PARKING,"{""December"": 2464, ""January"": 2212, ""March"": 2040, ""November"": 1716, ""February"": 1594, ""April"": 692}",DECREASING
BTP038 - Mysore Bank Junction,0.1308175286426306,0.34017812963879274,0.616031667491341,0.5095744680851064,0.058881741712023754,0.6363636363636364,0,12.973430411726868,77.58124380880751,2021,9,MORNING,CAR,WRONG PARKING,"{""December"": 610, ""January"": 459, ""November"": 421, ""February"": 245, ""March"": 210, ""April"": 76}",DECREASING
BTP032 - Windsor Circle,0.1779403197617969,0.2655511094943616,0.3197526373226628,0.5136958894143325,0.06329574390687523,0.5,0,12.993087912687146,77.58818366254266,2749,3,NIGHT,SCOOTER,WRONG PARKING,"{""December"": 1112, ""January"": 633, ""November"": 600, ""March"": 233, ""February"": 150, ""April"": 21}",DECREASING
BTP027 - Modi Bridge Junction,0.2967182341899152,0.32705061082024434,0.5711169284467714,0.5070789703315881,0.03555846422338569,0.6363636363636364,4,12.998897494610551,77.54941567682629,4584,7,MORNING,SCOOTER,WRONG PARKING,"{""December"": 1150, ""November"": 854, ""January"": 847, ""February"": 805, ""March"": 679, ""April"": 249}",DECREASING
BTP091 - Sirsi Circle,0.017023755582885623,0.5574144486692014,0.19011406844106463,0.5994296577946767,0.33079847908745247,0.18181818181818182,0,12.962208439163497,77.55862826692017,263,3,NIGHT,CAR,NO PARKING,"{""March"": 87, ""January"": 63, ""December"": 45, ""February"": 35, ""November"": 19, ""April"": 14}",STABLE
