junction_name,impact_score,predicted_recurrence,actual_recurrence
BTP044 - Sagar Theatre Junction,98.33467,0.9550728,0.9545454545454546
BTP051 - Safina Plaza Junction,100.0,0.97053134,1.0
BTP205 - Modi Hospital Junction,46.547684,0.4743553,0.5
BTP043 - Upparpet Junction,50.509003,0.51112664,0.5
BTP034 - LRDE Junction,28.39975,0.30589545,0.3181818181818182
BTP040 - Elite Junction,92.43477,0.9003064,0.9090909090909091
BTP038 - Mysore Bank Junction,63.65733,0.63317716,0.6363636363636364
BTP032 - Windsor Circle,50.080368,0.5071478,0.5
BTP027 - Modi Bridge Junction,65.74441,0.6525507,0.6363636363636364
BTP091 - Sirsi Circle,15.079342,0.18224755,0.18181818181818182
BTP057 - Anand Rao Junction,76.82882,0.75544274,0.7727272727272727
BTP063 - Siddalingaiah Circle,39.53111,0.40922332,0.4090909090909091
"BTP022 - Marenahalli Junction, Vijayanagar",44.585953,0.45614535,0.45454545454545453
"BTP016 - 5th Main Road, RPC Layout",44.51823,0.45551673,0.45454545454545453
"BTP083 - AS Char Street, Mysore Road",54.478245,0.5479715,0.5454545454545454
"BTP163 - 16th Main Road, BTM Layout",32.481106,0.34378102,0.3181818181818182
BTP220 - Puttanna Junction,23.55063,0.26088306,0.36363636363636365
BTP082 - KR Market Junction,93.75971,0.9126053,0.9090909090909091
BTP058 - Subbanna Junction,66.84665,0.6627823,0.8636363636363636
BTP064 - Devanga Hostel Junction,10.6586485,0.14121206,0.13636363636363635
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",52.94684,0.5337561,0.5454545454545454
"BTP123 - 10th Cross, Wilson Garden",24.724655,0.27178106,0.2727272727272727
BTP141 - Palmgroove Junction,9.748905,0.13276729,0.13636363636363635
BTP155 - Katriguppe Junction,12.4282,0.15763809,0.13636363636363635
BTP126 - Dairy Circle,24.699966,0.27155188,0.2727272727272727
BTP045 - Danvanthri Road Junction,59.32678,0.5929785,0.5909090909090909
BTP048 - Shanthala Junction,39.2646,0.40674943,0.4090909090909091
BTP054 - Shivananda Circle,48.776794,0.4950472,0.5
BTP071 - Prasanna Junction,43.232586,0.44358262,0.45454545454545453
"BTP080 - NR Road, SP Road Junction",73.08309,0.7206727,0.6818181818181818
"BTP168 - MSR Building, JC Road",7.2743087,0.10979662,0.13636363636363635
"BTP226 - 33rd Cross, 11th Main, Jayanagar",25.535091,0.279304,0.45454545454545453
BTP218 - Syndicate Bank Junction,23.62225,0.26154786,0.2727272727272727
BTP211 - Central Street Junction,98.49332,0.9565455,0.9545454545454546
BTP225 - Geetha Junction,24.679365,0.27136064,0.2727272727272727
BTP166 - Coffee Board Junction,14.841873,0.18004322,0.18181818181818182
BTP104 - Medical College Circle,43.603268,0.4470235,0.45454545454545453
BTP119 - Minerva Circle,15.730562,0.18829256,0.18181818181818182
BTP215 - Vanivillas Junction,29.260218,0.31388283,0.3181818181818182
BTP020 - Hosahalli Metro Station,54.655975,0.5496213,0.5454545454545454
BTP121 - KH Circle,10.191462,0.13687536,0.13636363636363635
BTP069 - MC Circle,33.063206,0.3491844,0.3181818181818182
"BTP070 - Cholurpalya Junction, Magadi Road",54.593357,0.54904,0.4090909090909091
BTP134 - Mico Bande,4.921046,0.08795224,0.09090909090909091
BTP208 - Havanur Circle,30.250872,0.32307866,0.3181818181818182
"BTP024 - NPS, Vijayanagar",35.22842,0.3692832,0.36363636363636365
"BTP210 - 50th cross, 12th Main , Rajajinagar",34.126236,0.3590521,0.36363636363636365
BTP118 - Basappa Circle,31.048628,0.3304839,0.3181818181818182
BTP132 - Anepalya Junction,14.833603,0.17996645,0.18181818181818182
BTP207 - 8th Main Road Basaveshwara Nagar,14.845983,0.18008138,0.18181818181818182
BTP172 - Nanjappa Circle,25.053795,0.27483633,0.2727272727272727
"BTP095 - Satellite Bus Stand, Mysore Road",30.838968,0.32853773,0.2727272727272727
