id,cluster_id
FKID000000,98
FKID000001,-1
FKID000002,98
FKID000003,137
FKID000004,12
FKID000005,0
FKID000006,101
FKID000007,53
FKID000008,101
FKID000009,101
FKID000010,-1
FKID000011,53
FKID000012,9
FKID000013,0
FKID000014,12
FKID000015,101
FKID000016,101
FKID000017,101
FKID000018,101
FKID000019,54
FKID000020,0
FKID000021,-1
FKID000022,9
FKID000023,38
FKID000024,32
FKID000025,116
FKID000026,12
FKID000027,32
FKID000028,12
FKID000029,12
FKID000030,-1
FKID000031,9
FKID000032,12
FKID000033,-1
FKID000034,-1
FKID000035,-1
FKID000036,-1
FKID000037,-1
FKID000038,115
FKID000039,99
FKID000040,16
FKID000041,3
FKID000042,-1
FKID000043,3
FKID000044,12
FKID000045,3
FKID000046,3
FKID000047,56
FKID000048,56
FKID000049,56
FKID000050,56
FKID000051,56
FKID000052,56
FKID000053,56
FKID000054,56
FKID000055,56
FKID000056,56
FKID000057,56
FKID000058,56
FKID000059,56
FKID000060,56
FKID000061,56
FKID000062,10
FKID000063,133
FKID000064,56
FKID000065,3
FKID000066,3
FKID000067,56
FKID000068,56
FKID000069,34
FKID000070,46
FKID000071,34
FKID000072,3
FKID000073,31
FKID000074,46
FKID000075,3
FKID000076,-1
FKID000077,3
FKID000078,12
FKID000079,7
FKID000080,3
FKID000081,46
FKID000082,3
FKID000083,-1
FKID000084,3
FKID000085,3
FKID000086,32
FKID000087,3
FKID000088,3
FKID000089,0
FKID000090,52
FKID000091,3
FKID000092,3
FKID000093,0
FKID000094,29
FKID000095,29
FKID000096,10
FKID000097,0
FKID000098,-1
FKID000099,-1
FKID000100,7
FKID000101,12
FKID000102,-1
FKID000103,32
FKID000104,-1
FKID000105,55
FKID000106,19
FKID000107,19
FKID000108,80
FKID000109,80
FKID000110,3
FKID000111,41
FKID000112,32
FKID000113,-1
FKID000114,12
FKID000115,19
FKID000116,41
FKID000117,-1
FKID000118,-1
FKID000119,-1
FKID000120,-1
FKID000121,85
FKID000122,-1
FKID000123,41
FKID000124,-1
FKID000125,101
FKID000126,12
FKID000127,101
FKID000128,4
FKID000129,-1
FKID000130,-1
FKID000131,6
FKID000132,-1
FKID000133,12
FKID000134,0
FKID000135,140
FKID000136,-1
FKID000137,-1
FKID000138,-1
FKID000139,6
FKID000140,52
FKID000141,51
FKID000142,51
FKID000143,51
FKID000144,-1
FKID000145,-1
FKID000146,-1
FKID000147,-1
FKID000148,-1
FKID000149,-1
FKID000150,-1
FKID000151,12
FKID000152,-1
FKID000153,-1
FKID000154,-1
FKID000155,12
FKID000156,12
FKID000157,-1
FKID000158,-1
FKID000159,12
FKID000160,-1
FKID000161,12
FKID000162,12
FKID000163,-1
FKID000164,-1
FKID000165,12
FKID000166,12
FKID000167,12
FKID000168,3
FKID000169,3
FKID000170,3
FKID000171,41
FKID000172,78
FKID000173,41
FKID000174,10
FKID000175,55
FKID000176,55
FKID000177,55
FKID000178,55
FKID000179,55
FKID000180,12
FKID000181,55
FKID000182,-1
FKID000183,55
FKID000184,55
FKID000185,12
FKID000186,55
FKID000187,55
FKID000188,12
FKID000189,7
FKID000190,135
FKID000191,7
FKID000192,127
FKID000193,-1
FKID000194,10
FKID000195,15
FKID000196,109
FKID000197,26
FKID000198,12
FKID000199,7
FKID000200,7
FKID000201,10
FKID000202,127
FKID000203,73
FKID000204,12
FKID000205,73
FKID000206,73
FKID000207,-1
FKID000208,-1
FKID000209,10
FKID000210,94
FKID000211,0
FKID000212,41
FKID000213,10
FKID000214,-1
FKID000215,0
FKID000216,-1
FKID000217,101
FKID000218,150
FKID000219,101
FKID000220,101
FKID000221,101
FKID000222,9
FKID000223,12
FKID000224,9
FKID000225,41
FKID000226,17
FKID000227,-1
FKID000228,-1
FKID000229,3
FKID000230,3
FKID000231,-1
FKID000232,12
FKID000233,12
FKID000234,12
FKID000235,12
FKID000236,12
FKID000237,12
FKID000238,12
FKID000239,80
FKID000240,12
FKID000241,-1
FKID000242,6
FKID000243,6
FKID000244,12
FKID000245,12
FKID000246,6
FKID000247,-1
FKID000248,15
FKID000249,-1
FKID000250,4
FKID000251,96
FKID000252,110
FKID000253,110
FKID000254,110
FKID000255,64
FKID000256,76
FKID000257,76
FKID000258,32
FKID000259,-1
FKID000260,15
FKID000261,15
FKID000262,15
FKID000263,15
FKID000264,12
FKID000265,15
FKID000266,-1
FKID000267,56
FKID000268,26
FKID000269,10
FKID000270,10
FKID000271,10
FKID000272,10
FKID000273,10
FKID000274,10
FKID000275,10
FKID000276,52
FKID000277,10
FKID000278,10
FKID000279,10
FKID000280,10
FKID000281,10
FKID000282,10
FKID000283,10
FKID000284,10
FKID000285,12
FKID000286,31
FKID000287,0
FKID000288,103
FKID000289,12
FKID000290,54
FKID000291,0
FKID000292,150
FKID000293,12
FKID000294,54
FKID000295,-1
FKID000296,12
FKID000297,46
FKID000298,0
FKID000299,46
FKID000300,12
FKID000301,46
FKID000302,12
FKID000303,0
FKID000304,-1
FKID000305,12
FKID000306,94
FKID000307,12
FKID000308,12
FKID000309,12
FKID000310,150
FKID000311,12
FKID000312,12
FKID000313,32
FKID000314,12
FKID000315,12
FKID000316,12
FKID000317,12
FKID000318,-1
FKID000319,12
FKID000320,12
FKID000321,58
FKID000322,58
FKID000323,49
FKID000324,12
FKID000325,12
FKID000326,49
FKID000327,140
FKID000328,58
FKID000329,-1
FKID000330,29
FKID000331,150
FKID000332,43
FKID000333,12
FKID000334,7
FKID000335,23
FKID000336,-1
FKID000337,15
FKID000338,7
FKID000339,15
FKID000340,0
FKID000341,0
FKID000342,85
FKID000343,140
FKID000344,140
FKID000345,140
FKID000346,7
FKID000347,15
FKID000348,15
FKID000349,15
FKID000350,15
FKID000351,-1
FKID000352,15
FKID000353,-1
FKID000354,-1
FKID000355,9
FKID000356,0
FKID000357,12
FKID000358,0
FKID000359,12
FKID000360,-1
FKID000361,16
FKID000362,0
FKID000363,15
FKID000364,12
FKID000365,97
FKID000366,-1
FKID000367,17
FKID000368,0
FKID000369,32
FKID000370,12
FKID000371,12
FKID000372,12
FKID000373,12
FKID000374,12
FKID000375,12
FKID000376,12
FKID000377,32
FKID000378,-1
FKID000379,32
FKID000380,32
FKID000381,32
FKID000382,51
FKID000383,-1
FKID000384,12
FKID000385,-1
FKID000386,-1
FKID000387,12
FKID000388,-1
FKID000389,12
FKID000390,12
FKID000391,12
FKID000392,12
FKID000393,0
FKID000394,-1
FKID000395,39
FKID000396,0
FKID000397,10
FKID000398,12
FKID000399,7
FKID000400,-1
FKID000401,0
FKID000402,0
FKID000403,12
FKID000404,7
FKID000405,12
FKID000406,19
FKID000407,7
FKID000408,0
FKID000409,0
FKID000410,7
FKID000411,12
FKID000412,12
FKID000413,12
FKID000414,21
FKID000415,21
FKID000416,21
FKID000417,21
FKID000418,21
FKID000419,7
FKID000420,4
FKID000421,21
FKID000422,21
FKID000423,21
FKID000424,12
FKID000425,21
FKID000426,12
FKID000427,21
FKID000428,21
FKID000429,21
FKID000430,21
FKID000431,21
FKID000432,21
FKID000433,12
FKID000434,12
FKID000435,116
FKID000436,22
FKID000437,41
FKID000438,12
FKID000439,116
FKID000440,4
FKID000441,116
FKID000442,4
FKID000443,3
FKID000444,116
FKID000445,15
FKID000446,67
FKID000447,12
FKID000448,12
FKID000449,15
FKID000450,97
FKID000451,6
FKID000452,6
FKID000453,6
FKID000454,61
FKID000455,0
FKID000456,-1
FKID000457,0
FKID000458,21
FKID000459,21
FKID000460,21
FKID000461,21
FKID000462,-1
FKID000463,12
FKID000464,12
FKID000465,21
FKID000466,-1
FKID000467,-1
FKID000468,-1
FKID000469,-1
FKID000470,-1
FKID000471,12
FKID000472,0
FKID000473,-1
FKID000474,75
FKID000475,21
FKID000476,-1
FKID000477,-1
FKID000478,123
FKID000479,123
FKID000480,123
FKID000481,123
FKID000482,6
FKID000483,6
FKID000484,12
FKID000485,21
FKID000486,21
FKID000487,-1
FKID000488,0
FKID000489,12
FKID000490,0
FKID000491,85
FKID000492,85
FKID000493,-1
FKID000494,37
FKID000495,21
FKID000496,51
FKID000497,12
FKID000498,-1
FKID000499,53
FKID000500,53
FKID000501,12
FKID000502,72
FKID000503,75
FKID000504,-1
FKID000505,75
FKID000506,12
FKID000507,12
FKID000508,7
FKID000509,12
FKID000510,97
FKID000511,12
FKID000512,12
FKID000513,12
FKID000514,12
FKID000515,32
FKID000516,12
FKID000517,12
FKID000518,12
FKID000519,12
FKID000520,12
FKID000521,12
FKID000522,12
FKID000523,12
FKID000524,12
FKID000525,75
FKID000526,-1
FKID000527,-1
FKID000528,32
FKID000529,12
FKID000530,75
FKID000531,60
FKID000532,12
FKID000533,-1
FKID000534,-1
FKID000535,12
FKID000536,-1
FKID000537,81
FKID000538,6
FKID000539,6
FKID000540,55
FKID000541,5
FKID000542,24
FKID000543,24
FKID000544,-1
FKID000545,-1
FKID000546,126
FKID000547,-1
FKID000548,108
FKID000549,6
FKID000550,61
FKID000551,46
FKID000552,-1
FKID000553,-1
FKID000554,64
FKID000555,113
FKID000556,12
FKID000557,61
FKID000558,12
FKID000559,61
FKID000560,12
FKID000561,6
FKID000562,49
FKID000563,123
FKID000564,-1
FKID000565,123
FKID000566,123
FKID000567,61
FKID000568,1
FKID000569,-1
FKID000570,1
FKID000571,12
FKID000572,-1
FKID000573,12
FKID000574,-1
FKID000575,-1
FKID000576,-1
FKID000577,-1
FKID000578,64
FKID000579,64
FKID000580,24
FKID000581,24
FKID000582,24
FKID000583,6
FKID000584,6
FKID000585,32
FKID000586,130
FKID000587,88
FKID000588,-1
FKID000589,22
FKID000590,143
FKID000591,12
FKID000592,12
FKID000593,12
FKID000594,-1
FKID000595,110
FKID000596,85
FKID000597,12
FKID000598,12
FKID000599,78
FKID000600,12
FKID000601,85
FKID000602,12
FKID000603,12
FKID000604,12
FKID000605,78
FKID000606,12
FKID000607,12
FKID000608,12
FKID000609,12
FKID000610,12
FKID000611,12
FKID000612,12
FKID000613,24
FKID000614,12
FKID000615,24
FKID000616,32
FKID000617,12
FKID000618,24
FKID000619,12
FKID000620,12
FKID000621,12
FKID000622,12
FKID000623,78
FKID000624,41
FKID000625,113
FKID000626,113
FKID000627,113
FKID000628,113
FKID000629,113
FKID000630,32
FKID000631,113
FKID000632,113
FKID000633,113
FKID000634,65
FKID000635,32
FKID000636,32
FKID000637,130
FKID000638,-1
FKID000639,52
FKID000640,12
FKID000641,32
FKID000642,32
FKID000643,32
FKID000644,32
FKID000645,-1
FKID000646,9
FKID000647,9
FKID000648,99
FKID000649,12
FKID000650,-1
FKID000651,9
FKID000652,-1
FKID000653,0
FKID000654,120
FKID000655,-1
FKID000656,12
FKID000657,12
FKID000658,12
FKID000659,60
FKID000660,12
FKID000661,12
FKID000662,116
FKID000663,0
FKID000664,12
FKID000665,0
FKID000666,-1
FKID000667,0
FKID000668,12
FKID000669,12
FKID000670,-1
FKID000671,6
FKID000672,12
FKID000673,0
FKID000674,12
FKID000675,12
FKID000676,15
FKID000677,12
FKID000678,-1
FKID000679,32
FKID000680,12
FKID000681,12
FKID000682,12
FKID000683,12
FKID000684,12
FKID000685,12
FKID000686,12
FKID000687,12
FKID000688,12
FKID000689,41
FKID000690,39
FKID000691,41
FKID000692,41
FKID000693,41
FKID000694,41
FKID000695,24
FKID000696,12
FKID000697,12
FKID000698,12
FKID000699,12
FKID000700,12
FKID000701,136
FKID000702,12
FKID000703,110
FKID000704,12
FKID000705,12
FKID000706,77
FKID000707,77
FKID000708,110
FKID000709,-1
FKID000710,6
FKID000711,6
FKID000712,80
FKID000713,6
FKID000714,26
FKID000715,12
FKID000716,12
FKID000717,-1
FKID000718,26
FKID000719,12
FKID000720,12
FKID000721,12
FKID000722,12
FKID000723,12
FKID000724,77
FKID000725,12
FKID000726,12
FKID000727,77
FKID000728,12
FKID000729,12
FKID000730,32
FKID000731,-1
FKID000732,0
FKID000733,12
FKID000734,10
FKID000735,6
FKID000736,10
FKID000737,0
FKID000738,46
FKID000739,6
FKID000740,6
FKID000741,6
FKID000742,-1
FKID000743,77
FKID000744,10
FKID000745,0
FKID000746,10
FKID000747,0
FKID000748,-1
FKID000749,22
FKID000750,0
FKID000751,12
FKID000752,0
FKID000753,22
FKID000754,12
FKID000755,12
FKID000756,12
FKID000757,12
FKID000758,0
FKID000759,6
FKID000760,137
FKID000761,7
FKID000762,12
FKID000763,32
FKID000764,10
FKID000765,12
FKID000766,49
FKID000767,15
FKID000768,12
FKID000769,49
FKID000770,-1
FKID000771,19
FKID000772,-1
FKID000773,6
FKID000774,-1
FKID000775,-1
FKID000776,13
FKID000777,132
FKID000778,6
FKID000779,32
FKID000780,6
FKID000781,6
FKID000782,6
FKID000783,6
FKID000784,6
FKID000785,12
FKID000786,6
FKID000787,6
FKID000788,6
FKID000789,6
FKID000790,6
FKID000791,6
FKID000792,6
FKID000793,107
FKID000794,79
FKID000795,6
FKID000796,19
FKID000797,19
FKID000798,6
FKID000799,78
FKID000800,80
FKID000801,78
FKID000802,94
FKID000803,75
FKID000804,-1
FKID000805,78
FKID000806,-1
FKID000807,-1
FKID000808,78
FKID000809,78
FKID000810,78
FKID000811,78
FKID000812,78
FKID000813,35
FKID000814,78
FKID000815,-1
FKID000816,-1
FKID000817,35
FKID000818,75
FKID000819,80
FKID000820,-1
FKID000821,42
FKID000822,68
